City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vostok,RU,2022-02-06 12:33:15,46.4856,135.8833,-9.02,99,99,3.49
68,East London,ZA,2022-02-06 12:33:16,-33.0153,27.9116,79.74,73,20,20.71
69,Bredasdorp,ZA,2022-02-06 12:33:16,-34.5322,20.0403,84.27,54,64,10.36
70,Yendi,GH,2022-02-06 12:33:17,9.4427,-0.0099,97.5,9,0,4.38
71,Rikitea,PF,2022-02-06 12:33:17,-23.1203,-134.9692,78.66,72,100,17.13
72,Codrington,AU,2022-02-06 12:33:18,-38.2667,141.9667,65.28,58,0,13.49
73,San Policarpo,PH,2022-02-06 12:33:18,12.1791,125.5072,80.98,73,6,15.99
74,Port Elizabeth,ZA,2022-02-06 12:33:19,-33.918,25.5701,96.1,69,0,21.85
75,Palatka,US,2022-02-06 12:33:19,29.6486,-81.6376,56.97,84,100,8.99
76,Goderich,CA,2022-02-06 12:33:19,43.7501,-81.7165,22.91,73,100,23.02
77,Yar-Sale,RU,2022-02-06 12:33:13,66.8333,70.8333,-16.96,100,70,4.85
78,Chermoz,RU,2022-02-06 12:32:16,58.787,56.1489,20.8,83,100,10.0
79,Matay,EG,2022-02-06 12:33:20,28.419,30.7792,67.1,30,0,9.15
80,Kavieng,PG,2022-02-06 12:33:20,-2.5744,150.7967,82.18,77,100,5.73
81,Tuatapere,NZ,2022-02-06 12:33:21,-46.1333,167.6833,45.82,90,1,3.74
82,Oliveira Dos Brejinhos,BR,2022-02-06 12:33:21,-12.3169,-42.8961,78.31,66,100,3.15
83,Saskylakh,RU,2022-02-06 12:33:22,71.9167,114.0833,-27.17,100,98,1.5
84,Plastun,RU,2022-02-06 12:33:22,44.7561,136.2939,6.66,70,15,9.95
85,Douentza,ML,2022-02-06 12:33:22,14.9951,-2.9517,86.23,7,0,11.7
86,Bilibino,RU,2022-02-06 12:33:23,68.0546,166.4372,-17.81,79,17,4.29
87,Batemans Bay,AU,2022-02-06 12:33:23,-35.7167,150.1833,66.9,86,99,8.25
88,Shihezi,CN,2022-02-06 12:33:24,44.3,86.0333,2.35,97,78,4.14
89,Sao Joao Da Barra,BR,2022-02-06 12:33:24,-21.6403,-41.0511,84.29,77,0,13.04
90,Mount Gambier,AU,2022-02-06 12:33:25,-37.8333,140.7667,69.71,60,3,11.5
91,Sunland Park,US,2022-02-06 12:33:25,31.7965,-106.58,38.55,48,0,7.0
92,Kapaa,US,2022-02-06 12:33:26,22.0752,-159.319,71.92,85,75,6.91
93,Victoria,HK,2022-02-06 12:33:27,22.2855,114.1577,64.45,81,100,1.99
94,Hilo,US,2022-02-06 12:29:49,19.7297,-155.09,68.79,95,0,5.75
95,Hambantota,LK,2022-02-06 12:34:27,6.1241,81.1185,84.54,79,20,3.44
96,Takoradi,GH,2022-02-06 12:34:28,4.8845,-1.7554,84.56,62,79,8.95
97,Upernavik,GL,2022-02-06 12:34:28,72.7868,-56.1549,-5.85,95,100,4.03
98,Tazovskiy,RU,2022-02-06 12:34:29,67.4667,78.7,-21.28,100,83,5.46
99,Ahome,MX,2022-02-06 12:34:29,25.9167,-109.1833,54.12,81,1,4.18
100,Sao Joao Do Piaui,BR,2022-02-06 12:34:30,-8.3581,-42.2467,90.34,36,100,5.84
101,Seoul,KR,2022-02-06 12:32:07,37.5683,126.9778,29.59,47,0,9.22
102,Koumac,NC,2022-02-06 12:34:31,-20.5667,164.2833,78.13,86,100,2.04
103,Tessalit,ML,2022-02-06 12:34:31,20.1986,1.0114,78.53,7,0,7.7
104,Tezu,IN,2022-02-06 12:34:31,27.9167,96.1667,54.72,94,42,2.06
105,Los Barrios,ES,2022-02-06 12:34:32,36.1848,-5.4921,66.11,77,40,18.41
106,Cabo San Lucas,MX,2022-02-06 12:30:09,22.8909,-109.9124,64.51,80,100,5.14
107,Marienburg,PL,2022-02-06 12:34:33,54.0359,19.0266,44.11,97,100,18.05
108,Qaanaaq,GL,2022-02-06 12:34:33,77.484,-69.3632,-11.07,74,97,8.21
109,Mutsu,JP,2022-02-06 12:34:33,41.2894,141.2169,25.0,67,93,14.09
110,Ancud,CL,2022-02-06 12:34:34,-41.8697,-73.8203,65.23,73,9,2.98
111,Lorengau,PG,2022-02-06 12:34:34,-2.0226,147.2712,81.52,80,100,8.21
112,Taoudenni,ML,2022-02-06 12:34:35,22.6783,-3.9836,80.65,8,100,9.42
113,Shelopugino,RU,2022-02-06 12:34:36,51.6514,117.5599,-13.09,100,48,3.6
114,Iqaluit,CA,2022-02-06 12:34:36,63.7506,-68.5145,-34.31,65,75,4.0
